keywords
"['latest devices yesterday', 'Google discontinues Clips', 'devices yesterday', 'pulling the plug', 'busy showcasing']"
"['discovering medical conditions', 'doctors spot brain', 'brain hemorrhages faster', 'spot brain hemorrhages', 'doctors spot']"
"['rogue machines Tech', 'machines Tech companies', 'ethics guidelines fight', 'guidelines fight bias', 'trouble establishing groundwork']"
"['Huge Step Forward', 'AI-Powered Search Update', 'change top executives', 'Huge Step', 'Step Forward']"
"['Paul Allen underwater', 'late Paul Allen', 'Allen underwater robotics', 'discovering long-lost warships', 'WWII Japanese aircraft']"
"['NVIDIA latest interactive', 'latest interactive demo', 'NVIDIA latest', 'interactive demo', 'image-processing algorithms']"
"['speak Spanish', 'users issuing commands', 'learned to speak', 'common question', 'issuing commands']"
"['improve your commute', 'artificial intelligence', 'intelligence to improve', 'Broward County', 'Broward']"
"['makes quick work', 'selections Isolating objects', 'latest AI-powered tool', 'AI-powered tool makes', 'tool makes quick']"
"['dark technology scenarios', 'self-driving vehicles raise', 'Scientists and researchers', 'researchers reveal', 'dark technology']"
"['spotting abusive tweets', 'attempts to improve', 'abusive tweets', 'abusive tweets removed', 'spotting abusive']"
"['Scientists Design', 'Compressible Material', 'foldable bicycles', 'large items', 'secret to foldable']"
"['chat Text messages', 'game chat Text', 'filter game chat', 'Text messages', 'chat Text']"
"['start hiring Honeywell', 'Strip District', 'establish robotics center', 'start hiring', 'Honeywell Robotics']"
"['dental hygiene budget', 'yearly dental hygiene', 'brushing poorly', 'hygiene budget', 'double my yearly']"
"['Facebook emphasizes women', 'emphasizes women safety', 'Facebook emphasizes', 'machine learning', 'women online']"
"['Nobel Peace prize', 'Peace prize winner', 'Nobel Peace', 'unethical and immoral', 'Peace prize']"
"['smells For decades', 'Google researchers taught', 'Google Brain Team', 'recognize smells', 'struggled to predict']"
"['Safely Track Wildlife', 'Track Wildlife Researchers', 'Safely Track', 'Track Wildlife', 'Wildlife Researchers']"
"['Microsoft Search Microsoft', 'comprehension capabilities built', 'add machine-reading results', 'machine-reading comprehension capabilities', 'Microsoft Search']"
"['Port San Antonio', 'San Antonio company', 'San Antonio', 'Billy Mitchell Road', 'Robotics to double']"
"['Future Workplace highlights', 'Oracle and Future', 'Future Workplace', 'study from Oracle', 'Workplace highlights']"
"['Project Awesome Audio', 'year MAX conference', 'Awesome Audio', 'MAX conference', 'Project Awesome']"
"['Washington photo database', 'database trained facial-recognition', 'trained facial-recognition algorithms', 'University of Washington', 'photo database trained']"
"['Survive Trump Blacklist', 'China SenseTime Group', 'SenseTime Group Ltd.', 'Valuable AI Startup', 'Startup Scrambles']"
"['Postal Service', 'USPS handle packages', 'delivers an estimated', 'billion pieces', 'mail annually']"
"['plate reading tech', 'license plate readers', 'ethical concerns remain', 'AI-powered license plate', 'automatic license plate']"
"['giant Azure cloud', 'Washington-based tech giant', 'tech giant Azure', ""aging populations' Humana"", 'Azure cloud']"
"['facial recognition Facebook', 'facial recognition altogether', 'dodge facial recognition', 'facial recognition', 'recognition Facebook']"
"['Mark Zuckerberg Teases', 'man Elon Musk', 'Mark Zuckerberg', 'rocket man Elon', 'Elon Musk']"
"['significant racial bias', 'demonstrating racial bias', 'significant racial', 'racial bias', 'algorithms demonstrating racial']"
"['Attend Pentagon Summit', 'artificial intelligence tools', 'Attend Pentagon', 'Pentagon Summit', 'Summit on Project']"
"['Automated Marking', 'increasingly politicized technology', 'Face Scans', 'politicized technology', 'Singapore Carves']"
"['OpenAI has published', 'published the text-generating', 'dangerous to share', 'share The lab', 'strong evidence']"
"['top things Indians', 'computer programming languages', 'University of Michigan', 'data science', 'Michigan president']"
